Company Name,Triggers,Description,Primary Industry,Size,Type,Location,HQ_STATE,HQ_CITY,Country,Domain,LinkedIn URL,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Confidence,Evidence Quote,Role,Has ngAbs Program,Company Research Narrative,Conference Presence,Modality Types,Antibody Trials Overview,ngAb Press Mentions (News),NA Site Classification,Record ID,Site Verdict,Lab & Process Job Openings,LinkedIn URL (Confirmed Only),Update People Search (Find people Table) - 2026-06-03T17:04:45.167Z,Contacts,data status,Share,NA Site Verdict,NA Sites Detail,Review Disposition,Review Note,Reclassify Verdict,Reclassify Evidence
ARTBIO,,"Cancer is relentless. So are we. ARTBIO redefines cancer care by discovering and developing a new class of Alpha Radioligand Therapies (ARTs), powered by unique Pb-212 isotope technology and seamless supply. Our team works tirelessly to bring therapies that matter to patients who need them.",Biotechnology Research,51-200 employees,Privately Held,"Cambridge, Massachusetts",Massachusetts,Cambridge,United States,artbio.com,https://www.linkedin.com/company/artbio-inc,ARTBIO,75,,12715,Response,high,"From the Licensing page: ""ARTBIO, Inc. (ARTBIO), a clinical-stage radiopharmaceutical company developing a new class of targeted alpha radioligand therapies (ARTs)...""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Licensing page: ""ARTBIO, Inc. (ARTBIO), a clinical-stage radiopharmaceutical company developing a new class of targeted alpha radioligand therapies (ARTs)..."".",,none,,,,recKbpjpsoglZMt24,pending,❌ No Job Found,,,"""Sanjay Sharma.  MSc, CRadPhr, PhD"",""Amaury Guillou, PhD""",,,,,,,,
Candel Therapeutics,,"Candel ($CADL) is a clinical stage biopharmaceutical company focused on developing off-the-shelf multimodal biological immunotherapies that elicit an individualized, systemic anti-tumor immune response to help patients fight cancer. Candel has established two clinical stage multimodal biological immunotherapy platforms based on novel, genetically modified adenovirus and herpes simplex virus (HSV) gene constructs, respectively. CAN-3110 is the lead product candidate from the HSV platform and is currently in an ongoing investigator-sponsored phase 1 clinical trial in recurrent high-grade glioma (HGG). In addition, Candel’s enLIGHTENTM Discovery Platform is a systematic, iterative HSV-based discovery platform leveraging human biology and advanced analytics to create new viral immunotherapies for solid tumors. CAN-2409 is the lead product candidate from the adenovirus platform and is currently in ongoing clinical trials in non-small cell lung cancer (NSCLC) (phase 2), borderline resectable pancreatic cancer (phase 2), and localized, non-metastatic prostate cancer (phase 2 and phase 3). For more information, visit www.candeltx.com or contact us at info@candeltx.com.",Biotechnology Research,51-200 employees,Public Company,"Needham, Massachusetts",Massachusetts,Needham,United States,candeltx.com,https://www.linkedin.com/company/candel-therapeutics,Candel Therapeutics,88,1999,12679,Response,high,"From the Pipeline page: ""Our precision cancer therapies generate systemic therapeutic effects and have demonstrated favorable tolerability profiles to date. See the progress of our CAN-2409 and CAN-3110 platforms in development."" From the Homepage: ""Engineered viral platforms that activate the immune system to recognize and destroy cancer cells.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Pipeline page: ""Our precision cancer therapies generate systemic therapeutic effects and have demonstrated favorable tolerability profiles to date. See the progress of our CAN-2409 and CAN-3110 platforms in development."" From the Homepage: ""Engineered viral platforms that activate the immune system to recognize and destroy cancer cells."".",,none,,,,recIdxMUdxQaSbRlf,pending,❌ No Job Found,,,,,,,,,,,
CytomX Therapeutics,,"CytomX Therapeutics, Inc. is committed to changing the treatment of cancer with our novel Probody therapeutic platform. We have a broad pipeline comprised of five clinical-stage programs, with even more in development. 

Our commitment to transforming lives with safer, more effective therapies is driven by our curiosity and passion for innovation, and our belief that by acting with integrity in an honest, respectful, ethical manner, we have the power to change lives. Our workplace embodies collaboration, open communication, celebrating our successes and holding each other to the highest possible standards. 

CytomX embraces diversity and seeks to enhance and maintain our culture of equity and inclusion which encourages individuals to be themselves, feel involved, respected and connected.

We at CytomX believe that we benefit from each other’s ideas and experiences. We accept our differences and learn from one another, improve together, and embrace change to achieve our corporate and individual objectives. This belief applies to how we work together at CytomX, how we work with others outside CytomX, how we represent CytomX in our communities, and how we endeavor to bring our scientific innovations to a diverse patient population.

CytomX acknowledges the importance of diversity, equity and inclusion initiatives and that they require an evolving and ongoing commitment. CytomX is an equal opportunity employer and does not discriminate against any individual or potential candidate because of race, color, religion, sex, national origin, sexual preference or any other legally protected category.

CytomX is located in South San Francisco, California, the birthplace of biotechnology. Learn more about us and how we are advancing science to treat cancer differently at www.cytomX.com.",Biotechnology,51-200 employees,Public Company,"South San Francisco, CA",CA,South San Francisco,United States,cytomx.com,https://www.linkedin.com/company/cytomx-therapeutics,CytomX Therapeutics,98,,12672,Response,high,"From the Pipeline page: ""PROBODY® Platform Drives Highly Differentiated Pipeline"" and ""Varseta-M (CX-2051) ... is a conditionally activated ADC directed toward the epithelial cell adhesion molecule (EpCAM) ...""; From the Regeneron press release: ""Collaboration will enable the development of investigational next-generation bispecific immunotherapies using CytomX’s Probody® and Regeneron's Veloci-Bi® platforms"".",platform company,yes,"platform company developing bispecific antibodies, ADCs, immunocytokines. Verdict: yes (confidence: high). Evidence: From the Pipeline page: ""PROBODY® Platform Drives Highly Differentiated Pipeline"" and ""Varseta-M (CX-2051) ... is a conditionally activated ADC directed toward the epithelial cell adhesion molecule (EpCAM) ...""; From the Regeneron press release: ""Collaboration will enable the development of investigational next-generation bispecific immunotherapies using CytomX’s Probody® and Regeneron's Veloci-Bi® platforms""..",,"bispecific antibodies, ADCs, immunocytokines",,,Response,recxZj8bxRqzy25Hj,excluded,❌ No Job Found,,,"Vangipuram Rangan,Robert Joerres,Claus Krebber,Lane Welton",,,,,,,,
TRexBio,,"TRexBio is a clinical-stage biotechnology company discovering and developing immunoregulatory medicines based on tissue Treg biology by leveraging cutting-edge computational biology tools, a focus on human tissue, and deep immunobiology expertise. The company’s Deep Biology platform maps human tissue Treg behavior to disease processes to identify and characterize novel targets for therapeutic intervention. Our lead program TRB-061, currently in a Ph1 clinical trial for atopic dermatitis, is a novel TNFR2-selective agonist designed to activate and expand effector Tregs in the tissue and restore immune balance in inflammatory diseases. TRexBio is headquartered in South San Francisco, California. For more info, visit www.trex.bio.",Biotechnology Research,51-200 employees,Privately Held,"South San Francisco, California",California,South San Francisco,United States,trex.bio,https://www.linkedin.com/company/trexbio-inc,TRexBio,60,2018,12389,Response,medium,"From the Pipeline page: ""TRexBio is advancing a differentiated pipeline of biologics ... Our pipeline of large molecules""; from the TRB-061 page: ""TRB-061 mimics the natural TNF ligand to selectively activate effector Tregs."" Clearly a large-molecule/biologics developer, but no page names the format as an antibody, bispecific, ADC, or Fc-fusion; a TNFR2 agonist that 'mimics the natural TNF ligand' could be a ligand-mimetic/Fc-fusion rather than a genuine antibody, so the in-scope modality cannot be confirmed.",developer,unclear,"developer developing none. Verdict: unclear (confidence: medium). Evidence: From the Pipeline page: ""TRexBio is advancing a differentiated pipeline of biologics designed to restore immune balance by focusing on regulatory T cells (Tregs) in human tissue."" From the TRB-061 page: ""TRB-061 mimics the natural TNF ligand to selectively activate effector Tregs."".",,none,,,South San Francisco CA (rnd_wetlab),recLXeCoeT81vw85j,needs_review,❌ No Job Found,,,,,,,,,,needs_review,"From the Pipeline page: ""TRexBio is advancing a differentiated pipeline of biologics ... Our pipeline of large molecules""; from the TRB-061 page: ""TRB-061 mimics the natural TNF ligand to selectively activate effector Tregs."" Clearly a large-molecule/biologics developer, but no page names the format"
Avid Bioservices,,"Avid Bioservices is a biologics CDMO and partner focused on delivering quality, speed, and predictability from DNA to CGMP.

We support biotech and pharma companies across the full development lifecycle, with integrated capabilities in cell line development, process development, and CGMP manufacturing for clinical and commercial supply.

Our platforms are intentionally aligned from early development through manufacturing, enabling seamless tech transfer and reducing risk as programs scale.

Our approach is built on predictable delivery. We combine rapid timelines with disciplined execution, giving our partners confidence in both speed and outcomes.

With transparent communication and strong program management, our teams operate as an extension of our clients - ensuring clarity, accountability, and momentum at every stage.

Quality underpins everything we do. We have a strong regulatory track record and a commitment to operational excellence that enables consistent, reliable results from early-phase programs through commercial production. 

Our U.S.-based facilities provide a trusted, scalable manufacturing environment.

At Avid, our services are designed to solve a single problem: how to move biologics programs forward quickly and reliably without compromising quality. By aligning our capabilities, platforms, and teams around that goal, we help our partners accelerate development and deliver therapies to patients with confidence.",Pharmaceutical Manufacturing,201-500 employees,Public Company,"Tustin, California",California,Tustin,United States,avidbio.com,https://www.linkedin.com/company/avid-bioservices,Avid Bioservices,361,2002,12309,Response,high,"From World ADC 2025 page: ""Avid Bioservices has extensive experience supporting Antibody-Drug Conjugate (ADC) programs, helping innovators navigate the complexities of biologics development and manufacturing. Whether you’re advancing a novel ADC candidate or preparing for commercial scale-up, our team is ready to discuss how we can support your goals with tailored CDMO solutions.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs. Verdict: yes (confidence: high). Evidence: From World ADC 2025 page: ""Avid Bioservices has extensive experience supporting Antibody-Drug Conjugate (ADC) programs, helping innovators navigate the complexities of biologics development and manufacturing. Whether you’re advancing a novel ADC candidate or preparing for commercial scale-up, our team is ready to discuss how we can support your goals with tailored CDMO solutions."".",Response,"bispecific antibodies, ADCs",Response,✅ 10 Results Found,Response,recvW52Vskip2JF4s,confirmed,Returned 10 Jobs,https://www.linkedin.com/company/avid-bioservices,People Search Updated,"Tatiana T. S. Mello,Charles Carrier,Gene Yoshioka",,checked,,,keep,Ellie reviewed clean.,,
ILC Dover,,"ILC Dover, an Ingersoll Rand Business, is a world leader in innovative design and production for biopharmaceutical, pharmaceutical, medical device, and aerospace markets. For over 25 years, we’ve led the industry in single-use powder and liquid handling, solving life sciences’ most complex workflow challenges. We deliver engineered solutions to improve your process so you can efficiently produce life-saving therapies. 

Trust ILC Dover to deliver innovative solutions that streamline your workflow from discovery through scale-up production, supporting your commitment to positive patient outcomes.",Pharmaceutical Manufacturing,"1,001-5,000 employees",Privately Held,"Frederica, Delaware",Delaware,Frederica,United States,ilcdover.com,https://www.linkedin.com/company/ilc-dover,ILC Dover,564,1947,12207,Response,high,"From the soloADC product page: ""soloADC is the highest-performing containment isolator unit with proven containment results, designed solely for ADC manufacturing and toxic linker compounding.""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the soloADC product page: ""soloADC is the highest-performing containment isolator unit with proven containment results, designed solely for ADC manufacturing and toxic linker compounding."".",Response,ADCs,Response,✅ 10 Results Found,Response,recxmDWjt21VPZHCu,confirmed,❌ No Job Found,https://www.linkedin.com/company/ilc-dover,People Search Updated,,,,,,,,,
Terns Pharmaceuticals,,"Terns Pharmaceuticals, Inc. is a clinical-stage biopharmaceutical company developing a portfolio of small-molecule product candidates to address serious diseases, including oncology and obesity. Terns’ pipeline includes three clinical-stage development programs including an allosteric BCR-ABL inhibitor, a small-molecule GLP-1 receptor agonist, a THR-β agonist and preclinical GIPR modulator programs. For more information, please visit: www.ternspharma.com.",Biotechnology Research,51-200 employees,Public Company,"Foster City, California",California,Foster City,United States,ternspharma.com,https://www.linkedin.com/company/ternspharmaceuticals,Terns Pharmaceuticals,68,2017,12170,Response,high,"From the Pipeline page: ""Our portfolio consists of multiple internally discovered small molecule drug candidates with de-risked mechanisms of action with the potential to address large unmet medical needs."" From the About page: ""developing superior small molecule medicines.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Pipeline page: ""Our portfolio consists of multiple internally discovered small molecule drug candidates with de-risked mechanisms of action with the potential to address large unmet medical needs."" From the About page: ""developing superior small molecule medicines."".",,none,,,,recR7d9Mpz6bgkDqQ,pending,Returned 1 Jobs,,,"Jacob Cha,Subramanian Karur,Scott Harris,Natalija Sotirovska",,,,,,,,
PureTech Health,,"PureTech Health is a hub-and-spoke biotherapeutics company dedicated to giving life to science and transforming innovation into value. We do this through a proven, capital-efficient R&D model focused on opportunities with validated pharmacology and untapped potential to address significant patient needs. This strategy has produced dozens of therapeutic candidates, including three that have received U.S. FDA approval. By identifying, shaping, and de-risking these high-conviction assets, and scaling them through dedicated structures backed by external capital, we accelerate their path to patients while creating sustainable value for shareholders. 

For more information, visitwww.puretechhealth.comor connect with us on X (formerly Twitter) @puretechh.",Biotechnology,51-200 employees,Public Company,"Boston, Massachusetts",Massachusetts,Boston,United States,puretechhealth.com,https://www.linkedin.com/company/puretech-health,PureTech Health,85,,12115,Response,high,"From the Gallop program page: ""LYT-200 is a fully human IgG4 monoclonal antibody and, to our knowledge, the most advanced clinical program targeting galectin-9.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Gallop program page: ""LYT-200 is a fully human IgG4 monoclonal antibody and, to our knowledge, the most advanced clinical program targeting galectin-9."".",,none,,,,rec8B3dlI252v1QFw,pending,❌ No Job Found,,,"Elvin Lee,""Neera Jain, PhD, MBA"",Chad Atwell",,,,,,,,
Celldex Therapeutics,,Celldex is a clinical stage biotechnology company dedicated to developing monoclonal and bispecific antibodies that address devastating diseases for which available treatments are inadequate. Our pipeline includes antibody-based therapeutics which have the ability to engage the human immune system and/or directly affect critical pathways to improve the lives of patients with inflammatory diseases and many forms of cancer.,Biotechnology Research,51-200 employees,Public Company,"Hampton, NJ",NJ,Hampton,United States,celldex.com,https://www.linkedin.com/company/celldex-therapeutics,Celldex,248,,14448,Response,high,"From the Pipeline page: ""CDX-622 is a bispecific antibody that targets two complementary, clinically validated pathways that drive chronic inflammation, potently neutralizing the alarmin thymic stromal lymphopoietin (TSLP) and depleting mast cells via stem cell factor (SCF) starvation.""",developer,yes,"developer developing bispecific antibodies. Verdict: yes (confidence: high). Evidence: From the Pipeline page: ""CDX-622 is a bispecific antibody that targets two complementary, clinically validated pathways that drive chronic inflammation, potently neutralizing the alarmin thymic stromal lymphopoietin (TSLP) and depleting mast cells via stem cell factor (SCF) starvation."".",Response,bispecific antibodies,Response,✅ 10 Results Found,Response,recQ92AtBqWMMF8C0,confirmed,❌ No Job Found,https://www.linkedin.com/company/celldex-therapeutics,People Search Updated,"Zeshan Ahmed,Cate Swarce,Shannon Renn,Shannon Renn-Bingham",,,,,,,,
Culture Biosciences,,"Culture is your bioreactor lab, in the cloud.

We help scientists accelerate bioprocess development with our high-throughput bioreactor cloud lab. You design your experiment, and we execute the experiment in our lab using our 250mL bioreactors. We take care of the high-quality execution so that you can focus on developing processes. 

While your experiment runs in our lab, you can monitor and analyze your data in real time using our online dashboard. With Culture, get faster insights to make better, data-driven decisions.",Biotechnology Research,51-200 employees,Privately Held,"South San Francisco, CA",CA,South San Francisco,United States,culturebiosciences.com,https://www.linkedin.com/company/culture-biosciences,Culture Biosciences,73,,11931,Response,medium,"From Resources (Scaling up mAb white paper): 'Scaling up mAb process development from 250mL to 5L bioreactor with consistent yield in Culture Biosciences cloud-connected bioreactors' and 'Comparability of IgG and VCD between 250mL, 5L and shake flask cultures.' From Homepage/Services navigation: 'Service Packages: Clone, strain & construct screening; Process characterization; Process development; Bioprocess modeling and simulation.' From Press (Series C): 'The Stratyx 250 system is engineered to provide scalable, automated, and digitally connected bioprocess capacity designed for modern biologics, cell therapy, and advanced bioprocess development needs.'",CDMO service provider,unclear,"CDMO service provider developing none. Verdict: unclear (confidence: medium). Evidence: From Resources (Scaling up mAb white paper): 'Scaling up mAb process development from 250mL to 5L bioreactor with consistent yield in Culture Biosciences cloud-connected bioreactors' and 'Comparability of IgG and VCD between 250mL, 5L and shake flask cultures.' From Homepage/Services navigation: 'Service Packages: Clone, strain & construct screening; Process characterization; Process development; Bioprocess modeling and simulation.' From Press (Series C): 'The Stratyx 250 system is engineered to provide scalable, automated, and digitally connected bioprocess capacity designed for modern biologics, cell therapy, and advanced bioprocess development needs.'.",,none,,,,reclaAqYeIU0qo2l1,excluded,❌ No Job Found,,,,,,,,,,excluded,"From the homepage: ""Culture's cloud-connected bioreactors for cell culture experiments"" and products Console (""bioprocess management software in the cloud""), Nexxys, and Stratyx (""Bioreactor platform""). They sell bioreactor hardware and bioprocess-development software/services, not antibody therapeu"
Senti Biosciences,,"Our mission is to create a new generation of smarter medicines that outmaneuver complex diseases in ways previously inconceivable. To accomplish this mission, we are building a synthetic biology platform that could enable us to program next-generation cell and gene therapies with what we refer to as “gene circuits”. These gene circuits, which are created from novel and proprietary combinations of DNA sequences, are intended to reprogram cells with biological logic to sense inputs, compute decisions and respond to their cellular environments. We are designing gene circuits to improve the “intelligence” of cell and gene therapies in order to enhance their therapeutic effectiveness against a broad range of diseases that conventional medicines do not readily address. 

For more information, please visit the Senti Bio website at https://www.sentibio.com.",Biotechnology Research,51-200 employees,Privately Held,"South San Francisco, CA",CA,South San Francisco,United States,sentibio.com,https://www.linkedin.com/company/senti-biosciences,Senti Biosciences,67,2016,11911,Response,high,"From the Home page: ""Senti Bio is a clinical-stage company developing a new generation of cell and gene therapies for patients living with incurable diseases. To achieve this, we are leveraging our synthetic biology platform to engineer Gene Circuits into new medicines with enhanced precision and control.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Home page: ""Senti Bio is a clinical-stage company developing a new generation of cell and gene therapies for patients living with incurable diseases. To achieve this, we are leveraging our synthetic biology platform to engineer Gene Circuits into new medicines with enhanced precision and control."".",,none,,,,recIlTJjCIZz82aR5,pending,Returned 1 Jobs,,,"Faraz Siddiqui,Melissa Woodrow,Daniel Anaya,Nikul Patel,Kathy Brower,Marty Giedlin",,,,,,,,
Upstream Bio,,"We are advancing verekitug, a clinical-stage monoclonal antibody targeting an upstream driver of inflammatory response. Our experienced team is committed to leveraging verekitug’s unique mechanism of action to improve the treatment options for millions of patients living with severe inflammatory diseases.",Biotechnology Research,51-200 employees,Public Company,"Waltham, Massachusetts",Massachusetts,Waltham,United States,upstreambio.com,https://www.linkedin.com/company/upstreambio,Upstream Bio,76,2021,11879,Response,high,"From the Pipeline page: ""Upstream is developing verekitug, the only known clinical-stage monoclonal antibody targeting the receptor of thymic stromal lymphopoietin (TSLP)..."" and ""We are developing verekitug, a novel recombinant fully human immunoglobulin G1 (IgG1) monoclonal antibody (mAb) that binds to the TSLP receptor and inhibits pro-inflammatory signaling initiated by TSLP.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Pipeline page: ""Upstream is developing verekitug, the only known clinical-stage monoclonal antibody targeting the receptor of thymic stromal lymphopoietin (TSLP)..."" and ""We are developing verekitug, a novel recombinant fully human immunoglobulin G1 (IgG1) monoclonal antibody (mAb) that binds to the TSLP receptor and inhibits pro-inflammatory signaling initiated by TSLP."".",,none,,,,recETVbtLP53E6fmR,pending,❌ No Job Found,,,"Parika Petaipimol,Vishal Toprani",,,,,,,,
"Mineralys Therapeutics, Inc.",,"At Mineralys Therapeutics we aim to redefine hypertension diagnosis, management and treatment. We are driven to break the “trial and failure” approach to hypertension management and bring a personalized approach to the management of hypertension.",Biotechnology Research,51-200 employees,Privately Held,"Radnor, PA",PA,Radnor,United States,mineralystx.com,https://www.linkedin.com/company/mineralys-therapeutics-inc,"Mineralys Therapeutics, Inc.",115,2020,11876,Response,high,"From the Pipeline page: ""Lorundrostat is a highly selective aldosterone synthase inhibitor.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Pipeline page: ""Lorundrostat is a highly selective aldosterone synthase inhibitor."".",,none,,,,recDSO9cuS4ZhhtB1,pending,❌ No Job Found,,,,,,,,,,,
FogPharma,,"FogPharma is developing a new class of drugs to address the limitations of today’s precision medicines and achieve universal druggability. The company is pioneering the discovery, development and commercialization of HeliconTM peptides, a new drug modality that uniquely combines the broad targeting power of monoclonal antibodies with the cell-penetrating ability of small molecules. HeliconTM peptides hold the promise, not only to drug nearly all human disease drivers, but also to do so with unrivaled speed and scalability.

Important Notice to Prospective Candidates:

Please be aware of fraudulent recruiters who may claim to be affiliated with FogPharma. All authentic communications on behalf of Fog will come either through the Greenhouse platform or from email addresses ending in @fogpharma.com; we do not communicate with job applicants using LinkedIn messenger. 

Be cautious and refrain from providing personal details to any individual whose affiliation to Fog cannot be verified by the means above.",Biotechnology Research,51-200 employees,Privately Held,"Cambridge, MA",MA,Cambridge,United States,fogpharma.com,https://www.linkedin.com/company/fog-pharmaceuticals,Parabilis Medicines,190,2016,17617,Response,high,"From the Press Release (Parabilis Medicines, May 18, 2026): 'Antibody-Helicon™ Conjugates (AHCs), a novel class of therapeutics designed to target challenging and historically “undruggable” targets.'",platform company,yes,"platform company developing ADCs. Verdict: yes (confidence: high). Evidence: From the Press Release (Parabilis Medicines, May 18, 2026): 'Antibody-Helicon™ Conjugates (AHCs), a novel class of therapeutics designed to target challenging and historically “undruggable” targets.'.",Response,ADCs,Response,✅ 8 Results Found,Response,recwgdIEfJ3G8Yvit,confirmed,❌ No Job Found,https://www.linkedin.com/company/fog-pharmaceuticals,People Search Updated,,,,,,,,,
"Tenpoint Therapeutics, Ltd.",,"This page is intended for US audiences only.

Tenpoint Therapeutics, Ltd. is a global commercial ophthalmic pharmaceutical company focused on the commercialization of YUVEZZITM (carbachol and brimonidine tartrate ophthalmic solution) 2.75%/0.1%, the first and only dual-agent eye drop for the treatment of presbyopia, a condition that affects nearly 128 million people in the U.S. and approximately 2 billion people globally. By understanding real-world needs and partnering with eye care professionals, Tenpoint is working to bring innovation to the aging eye. Tenpoint Therapeutics’ leadership team includes ophthalmic industry luminaries with track records of successful approval and commercialization of blockbuster treatments.",Pharmaceutical Manufacturing,51-200 employees,Privately Held,"Irvine, California",California,Irvine,United States,tenpointtherapeutics.com,https://www.linkedin.com/company/tenpointtherapeutics,"Tenpoint Therapeutics, Ltd.",130,2019,11839,Response,high,"From the JPM presentation PDF: ""The Company’s lead investigational asset, BRIMOCHOL™ PF, is designed to be the first and only combination therapy for presbyopia...""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the JPM presentation PDF: ""The Company’s lead investigational asset, BRIMOCHOL™ PF, is designed to be the first and only combination therapy for presbyopia..."".",,none,,,,recXQc4N6uted90e9,pending,❌ No Job Found,,,,,,,,,,,
BigHat Biosciences,,"BigHat’s mission is to improve human health by making it far easier to design advanced, next-generation antibody therapeutics.  Our AI-enabled experimental platform integrates a high-speed characterization or “wet” lab with machine learning technologies to speed the antibody engineering process. When applied, these design capabilities have the potential to drive the development of new generations of safer and more effective treatments for patients suffering from today’s most challenging diseases.

BigHat is backed by Section 32, Andreessen Horowitz, 8VC, Amgen Ventures, Bristol Myers Squibb, Quadrille, Grids Capital, AME Cloud Ventures, Innovation Endeavors and Gaingels.",Biotechnology Research,51-200 employees,Privately Held,"San Mateo, California",California,San Mateo,United States,bighatbio.com,https://www.linkedin.com/company/bighat-biosciences,BigHat Biosciences,97,2019,11764,Response,high,"From the Technology page: ""Today, BigHat specializes in next-generation antibody formats, including camelid and human VHHs, scFvs, multispecifics, and conjugates."" From the Therapeutics page: ""Advancing a pipeline of therapeutics towards the clinic... Modality ... ADC ... BHB810 ... Modality ... TCE ... BHB299""",platform company,yes,"platform company developing bispecific antibodies, multispecific antibodies, ADCs, antibody fragments, BiTEs. Verdict: yes (confidence: high). Evidence: From the Technology page: ""Today, BigHat specializes in next-generation antibody formats, including camelid and human VHHs, scFvs, multispecifics, and conjugates."" From the Therapeutics page: ""Advancing a pipeline of therapeutics towards the clinic... Modality ... ADC ... BHB810 ... Modality ... TCE ... BHB299"".",Response,"bispecific antibodies, multispecific antibodies, ADCs, antibody fragments, BiTEs",Response,✅ 8 Results Found,Response,recXjhYE5RvtWRKW9,confirmed,❌ No Job Found,https://www.linkedin.com/company/bighat-biosciences,People Search Updated,Julie Anne Zorn,,,,,,,,
"Halo Pharmaceutical, Inc.",,"Halo Pharma is a leading provider of pharmaceutical services, including contract dosage form development, commercial manufacturing, and analytical services.

Halo is proudly part of the Normaco Group, joining Noramco and Purisys to provide customers with a complete North American-based supply chain solution covering clinical and commercial APIs through to clinical and commercial drug products.",Pharmaceutical Manufacturing,201-500 employees,Privately Held,"Whippany, New Jersey",New Jersey,Whippany,United States,halopharma.com,https://www.linkedin.com/company/halo-pharmaceutical-inc-,"Halo Pharmaceutical, Inc.",229,,11745,Response,high,"From the Home page: ""Pharmaceutical innovators, generics, and OTC owners rely on Halo Pharma to bring their small molecule therapeutics to market expeditiously, across a broad range of dosage forms and complexities, without compromising safety and quality.""",not applicable,no,"not applicable developing none. Verdict: no (confidence: high). Evidence: From the Home page: ""Pharmaceutical innovators, generics, and OTC owners rely on Halo Pharma to bring their small molecule therapeutics to market expeditiously, across a broad range of dosage forms and complexities, without compromising safety and quality."".",,none,,,,recMFKJO7uml0DfiE,pending,❌ No Job Found,,,,,,,,,,,
Aura Biosciences,,"Aura Biosciences is a clinical-stage biotechnology company focused on developing precision therapies for solid tumors that aim to preserve organ function. Our lead candidate, bel-sar (AU-011), is currently in late-stage development for early choroidal melanoma and in early-stage development in other ocular oncology indications and bladder cancer. Aura Biosciences is headquartered in Boston, MA. Our mission is to grow as an innovative global oncology company that positively transforms the lives of patients.",Biotechnology Research,51-200 employees,Public Company,"Boston, Massachusetts",Massachusetts,Boston,United States,aurabiosciences.com,https://www.linkedin.com/company/aurabiosciences,Aura Biosciences,131,2009,11800,Running...,,,,, developing . Verdict:  (confidence: ). Evidence: .,,,,,,recDc6J2hDMnvWHii,pending,❌ No Job Found,,,"Ankur Desai,Jia Zhang,""Stephanie Saddic, EMBA"",Steven Wudyka",,,,,,,,
IGI,,"IGI, Inc. is a global, fully integrated clinical-stage biotechnology company focused on developing innovative biologics in oncology. 

Headquartered in New York, NY, IGI is advancing a robust pipeline of novel, first-in-class MultispecificsTM aimed at addressing complex diseases and treating patients holistically. Powered by its proprietary BEAT technology platform, IGI is committed to delivering breakthrough, curative therapies to improve and extend the lives of patients battling hematological malignancies and solid tumors.",Biotechnology,51-200 employees,Privately Held,"New York, NY",NY,New York,United States,iginnovate.com,https://www.linkedin.com/company/ichnos-glenmark-innovation,IGI,257,2019,11725,Response,high,"From the Pipeline page: ""Our Pipeline is comprised of Biologics, including the proprietary BEAT® MultispecificsTM platform, targeting the spectrum of immune cell engagement and indications across hematologic and solid tumors.""; From the Pipeline page: ""ISB 2001 (ABBV-2001) — CD38 x BCMA x CD3 Trispecific""; From the Homepage: ""ISB 2001 (CD38 x BCMA x CD3): Phase 1b""",developer,yes,"developer developing multispecific antibodies, trispecific antibodies, bispecific antibodies, BiTEs. Verdict: yes (confidence: high). Evidence: From the Pipeline page: ""Our Pipeline is comprised of Biologics, including the proprietary BEAT® MultispecificsTM platform, targeting the spectrum of immune cell engagement and indications across hematologic and solid tumors.""; From the Pipeline page: ""ISB 2001 (ABBV-2001) — CD38 x BCMA x CD3 Trispecific""; From the Homepage: ""ISB 2001 (CD38 x BCMA x CD3): Phase 1b"".",,"multispecific antibodies, trispecific antibodies, bispecific antibodies, BiTEs",,,Response,recKr8q3OFLwD9ILh,excluded,❌ No Job Found,,,,,,,,,,,
