company_name,domain,company_type_primary,hq_country,hq_state,employee_count,size_bucket,clinical_stage,pipeline_indication,primary_modality,modality_confirmed,modality_source,subsidiary_flag,subsidiary_parent,company_status,enrichment_status,enrichment_failed_check,company_score,salesforce_engagement_status,existing_customer,funding_event,ind_or_stage_advance,leadership_hire,conference_presence,recent_publication,contacts_total,contacts_cadence_ready,contacts_with_email,contacts_disqualified
PTC Therapeutics,ptcbio.com,biopharma,US,new jersey,1149,1001-5000,Commercial/Approved,,AAV / Gene Therapy,true,PTC Therapeutics — Kebilidi (eladocagene exuparvovec) FDA-approved AAV2 gene therapy for AADC deficiency 2024,false,,active,enrichment_incomplete,,5,,,,,,,,0,0,0,0
REGENXBIO Inc,regenxbio.com,biopharma,US,maryland,396,201-500,Phase 3+,,AAV / Gene Therapy,true,https://www.regenxbio.com/science-innovation/aav-gene-therapy/ — NAV AAV platform,false,,active,enrichment_complete,,5,,,,,,,,6,0,6,2
Rejuvenate Bio,rejuvenatebio.com,biopharma,US,CA,14,11-50,preclinical,,AAV / Gene Therapy,true,"Notebook 2026-05-07: epigenetic reprogramming platform, not AAV.",false,,active,enrichment_incomplete,modality_confirmed,0,,,,,,,,1,0,1,1
Rocket Pharmaceuticals,rocketpharma.com,biopharma,US,NJ,222,201-500,Phase 1/2,,AAV / Gene Therapy,true,https://rocketpharma.com/aav-presentations-and-posters/ — RP-A501 AAV for Danon disease,false,,active,enrichment_complete,,6,,,,,,,,5,1,5,1
Sarepta Therapeutics Inc,sarepta.com,biopharma,US,MA,1158,1001-5000,Phase 2,,AAV / Gene Therapy,true,"https://www.sarepta.com/science/gene-therapy — AAV gene therapy programs (Elevidys, etc.)",false,,active,enrichment_complete,,11,,,,"ENDEAVOR Cohort 8 dosing initiated, 2026-04 (ELEVIDYS / delandistrogene moxeparvovec AAV for non-ambulatory DMD)",,,"EMBARK Phase 3 pivotal trial results for ELEVIDYS (delandistrogene moxeparvovec, AAVrh74) in DMD, JAMA Neurology 2024-10",6,3,6,1
Shape Therapeutics Inc,shapetx.com,biopharma,US,WA,33,51-200,preclinical,,AAV / Gene Therapy,true,Notebook 2026-05-07: RNA editing primary platform; AAV used only as delivery vector.,false,,active,enrichment_complete,modality_confirmed,0,,,,,,,,5,0,4,3
Solid Biosciences,solidbio.com,biopharma,US,MA,155,51-200,Phase 1/2,,AAV / Gene Therapy,true,https://investors.solidbio.com/news-releases/news-release-details/solid-biosciences-announces-licensing-agreement-andelyn — AAV-SLB101 capsid,false,,active,enrichment_complete,,6,,,,,,,,4,1,3,0
Taysha Gene Therapies,tayshagtx.com,biopharma,US,texas,129,51-200,Phase 1,,AAV / Gene Therapy,true,https://www.biospace.com/press-releases/ — TSHA-102 scAAV9-mini-MeCP2,false,,active,enrichment_complete,,7,,,,,,,,9,3,9,1
Tenaya Therapeutics Inc,tenayatherapeutics.com,biopharma,US,CA,98,51-200,Phase 1,,AAV / Gene Therapy,true,https://www.tenayatherapeutics.com/tn-201/ — AAV9 TN-201 for HCM,false,,active,enrichment_incomplete,email_missing,9,,,,,,,"Initial safety and pharmacodynamic findings from MyPEAK-1 Phase 1b/2 (TN-201 AAV9 MYBPC3 for hypertrophic cardiomyopathy), PMC12754841, 2025",3,0,1,1
Ultragenyx Pharmaceutical Inc.,ultragenyx.com,biopharma,US,CA,1517,1001-5000,Phase 3+,,AAV / Gene Therapy,true,https://ir.ultragenyx.com/news-releases/ — AAV9 UX111 (rebisufligene etisparvovec),false,,active,enrichment_complete,,8,,,,"BLA accepted by FDA, 2026-04 (UX111 / rebisufligene etisparvovec for Sanfilippo Type A)",,,,5,0,5,0
Virovek,virovek.com,cdmo,US,TX,14,11-50,preclinical,,AAV / Gene Therapy,true,AAV CDMO per company website (virovek.com) — long-standing AAV manufacturer.,false,,active,enrichment_complete,,5,,,,,,,,6,2,6,0
"Voyager Therapeutics, Inc",voyagertherapeutics.com,biopharma,US,MA,100,51-200,Phase 1/2,,AAV / Gene Therapy,true,https://ir.voyagertherapeutics.com/news-releases/ — TRACER AAV capsid platform,false,,active,enrichment_complete,,11,,,,"VY1706 tau silencing AAV gene therapy IND filing anticipated 2026, IND-enabling studies advancing (Q4 2024 update)",,,"Second-generation TRACER capsid platform data (BBB penetration, CNS tropism), ir.voyagertherapeutics.com news release 2025",8,3,8,3
Aavantibio Inc,aavantibio.com,biopharma,US,,5,1-50,preclinical,,AAV / Gene Therapy,true,Notebook 2026-05-07: leadership at Solid Biosciences; treated as acquired/abandoned.,false,,acquired,disqualified,company_status,5,,,,,,,,3,0,3,3
Akouos,akouos.com,biopharma,US,,52,51-200,Phase 1/2,,AAV / Gene Therapy,true,Notebook + public M&A: Eli Lilly acquired Akouos 2022; AAV ear gene therapies.,true,Eli Lilly,active,disqualified,subsidiary_flag,6,,,,,,,,5,0,5,5
American Gene Technologies® International Inc,americangene.com,biopharma,US,,24,1-50,Phase 1,,AAV / Gene Therapy,false,"Notebook 2026-05-07: lentiviral platform primary, not AAV.",false,,active,disqualified,modality_confirmed,2,,,,,,,,5,0,5,3
Applied Genetics Technologies Corp,agtc.com,biopharma,US,,132,51-200,Phase 3+,,AAV / Gene Therapy,false,Provisional from existing primary_modality field; not yet live-URL-verified per spec literal-string rule (2026-05-07).,false,,acquired,disqualified,company_acquired,0,,,,,,,,1,0,1,1
AskBio Inc,askbio.com,biopharma,US,,503,501-1000,Phase 2,,AAV / Gene Therapy,true,Notebook 2026-05-07 + public M&A: Bayer acquired AskBio 2020; AAV gene therapy.,true,Bayer AG,active,disqualified,subsidiary_flag,6,,,,,,,,5,0,5,5
Astellas Gene Therapies,astellasgenetherapies.com,biopharma,US,,404,201-500,Phase 2,,AAV / Gene Therapy,true,Notebook 2026-05-07: Astellas subsidiary; LinkedIn page no longer monitored.,true,Astellas,acquired,disqualified,company_status,6,,,,,,,,5,0,5,5
Audentes Therapeutics Inc,audentestx.com,biopharma,US,,207,201-500,Phase 1,,AAV / Gene Therapy,true,Notebook 2026-05-07: audentestx.com resolves to Astellas Gene Therapies.,true,Astellas,acquired,disqualified,company_status,7,,,,,,,,5,0,5,5
"AveXis, Inc",avexis.com,biopharma,US,,1745,1001-2000,Phase 3+,,AAV / Gene Therapy,true,Notebook 2026-05-07: avexis.com resolves to Novartis Gene Therapies.,true,Novartis,acquired,disqualified,company_status,5,,,,,,,,5,0,5,5
Expression Therapeutics LLC,expressiontherapeutics.com,biopharma,US,,23,1-50,Phase 1,,AAV / Gene Therapy,false,"Notebook 2026-05-07: gene+cell therapy combo for hematology/oncology, not AAV-primary.",false,,active,disqualified,modality_confirmed,2,,,,,,,,5,0,5,4
"Homology Medicines, Inc",homologymedicines.com,biopharma,US,,78,51-200,Phase 1,,AAV / Gene Therapy,true,"Homology Medicines AAV capsid patents (Pharmaceutical Technology, public)",false,,acquired,disqualified,,7,,,,,,,,4,0,4,4
Prevail Therapeutics,prevailtherapeutics.com,biopharma,US,,17,1-50,Phase 1,,AAV / Gene Therapy,true,Notebook 2026-05-07 + public M&A: Lilly acquired Prevail 2021; AAV gene therapy.,true,Eli Lilly,active,disqualified,subsidiary_flag,7,,,,,,,,5,0,5,5
Sio Gene Therapies Inc,siogtx.com,biopharma,US,,14,1-50,Phase 1,,AAV / Gene Therapy,true,"Notebook 2026-05-07: no Clay data, no public activity; treated as defunct.",false,,defunct,disqualified,company_status,7,,,,,,,,4,0,4,4
"Spark Therapeutics, Inc",sparktx.com,biopharma,US,,301,201-500,Phase 3+,,AAV / Gene Therapy,true,Notebook 2026-05-07: member of the Roche Group (acquired 2019); AAV gene therapy.,true,Roche,active,disqualified,subsidiary_flag,5,,,,,,,,0,0,0,0
Stridebio Inc,stridebio.com,biopharma,US,,4,1-50,preclinical,,AAV / Gene Therapy,false,Perplexity 2026-05-07: AAV capsid platform acquired by Ginkgo Bioworks (Global Genes). Treat as acquired.,false,,acquired,disqualified,company_status,0,,,,,,,,3,0,3,3
XyloCor,xylocor.com,biopharma,US,,17,1-50,Phase 1,,AAV / Gene Therapy,false,"Perplexity 2026-05-07: adenoviral-5 vector primary, not AAV. http://www.xylocor.com/pipeline.html",false,,active,disqualified,modality_confirmed,2,,,,,,,,1,0,1,1
