row_num,business_name,business_website,business_domain,business_business_description,business_number_of_employees_range,business_yearly_revenue_range,business_country_name,business_region,business_city_name,business_naics,business_naics_description,business_sic_code,business_sic_code_description,business_logo,business_business_intent_topics,created_at,business_id
11,Bett-A-Brew Beer & Wine Making Supplies,ibrew.com.au,ibrew.com.au,,51-200,10M-25M,australia,,,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,27291268c38f41f816e9ad1a607c5942
12,Sunny Hill Distillery,sunnyhilldistillery.com.au,sunnyhilldistillery.com.au,"Sunny Hill Distillery is a food production company based out of 8658 Upper Yorke Rd, Arthurton, Australia.",51-200,10M-25M,australia,,arthurton,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,7dcca098fa6e1f74612a2cc70aafac2d
13,Maltwerks,maltwerks.com,maltwerks.com,,11-50,5M-10M,united states,minnesota,detroit lakes,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://media.licdn.com/dms/image/v2/C560BAQGtGDsu2lpZbQ/company-logo_200_200/company-logo_200_200/0/1674246474500?e=2147483647&v=beta&t=yy-723f7ZC_w0qztpCoY0GELI7hLa822U_it7lf4BRM,,2026-05-08T20:59:22.143Z,ccd568c1b7d82e2e69aed9fb85d9ecf7
14,Brewers Select Ltd,brewersselect.com,brewersselect.com,,11-50,1M-5M,canada,ontario,ottawa,31211,Soft Drink and Ice Manufacturing,5812,Eating places,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,acae71ce15890336f01c742e15ca19f6
15,MICRONIZED FOOD PRODUCTS LIMITED,micronizedfoodproducts.co.uk,micronizedfoodproducts.co.uk,"Micronized Food Products is a food manufacturing company that offers raw material sampling, cleaning, testing, and processing services.",11-50,5M-10M,united kingdom,,fakenham,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,e4c1e70a6522204c1aff5eaad64192d7
16,Hoppy Days Brewing Supplies,hoppydaysbrewingsupplies.com.au,hoppydaysbrewingsupplies.com.au,,51-200,10M-25M,australia,,,3121,Beverage Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,646512ba5f6e8e79fab598989f20f954
17,SoCal Homebrew,socalbrewingsupply.com,socalbrewingsupply.com,"SoCal Brewing Supply is a family-owned and operated business that provides a wide range of homebrew supplies and ingredients. They offer beer starter kits, brewing equipment, fermenting equipment, bottling and kegging supplies, as well as brewing ingredients like grains, hops, yeasts, and additives. The company focuses on offering an alternative to traditional homebrew supply options, with a mission to cater to customers who seek better availability and faster shipping. SoCal Brewing Supply emphasizes same-day shipping on most domestic orders to ensure customers have what they need for their brewing projects.",11-50,5M-10M,united states,california,la verne,312120,Breweries,5182,Wine and distilled beverages,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,a442fa39b4de16844fb570d1acb7ab06
18,TWOC Brewing Supplies,homebru.com.au,homebru.com.au,,51-200,10M-25M,australia,,,3121,Beverage Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,d4dd5507f8f01b6c79b57b8799cff6ab
19,Eastern Shores Brewing Supplies,easternshoresbrewing.com,easternshoresbrewing.com,Eastern Shores Brewing Supplies is your homebrew connection offering quality beer and wine supplies and equipment for the beginner through advanced homebrewer.,11-50,5M-10M,united states,michigan,port huron,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,67e74d1d097d0c82fcc8cc734452cb4b
20,"Catalina Products, LLC",mrbeer.com,mrbeer.com,"Mr. Beer, now owned by Coopers Brewery, specializes in making homebrewing easy and consistent. They offer beer making kits, refills, recipes, brewing equipment, accessories, and ingredients for homebrewing enthusiasts. With a focus on quality and ease-of-use, Mr. Beer provides a range of malts and extracts crafted by Coopers Brewery. The company aims to simplify the homebrewing process and offers support through customer service channels. Additionally, Mr. Beer introduced the MR. ROOTBEER Kit for making traditional root beer, catering to both adults and children.",11-50,5M-10M,united states,arizona,tucson,312120,Breweries,5182,Wine and distilled beverages,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,694dc1fbbccf94a4fc9a9767f3659815
21,Scotzin Bros Wine,scotzinbros.com,scotzinbros.com,Your homebrew and winemaking supply store. Scotzin Brothers has been selling brewing and wine supplies for over 40 years. We have a large selection offer great customer service.,11-50,5M-10M,united states,pennsylvania,lemoyne,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,e582faffddb7280f14f6b17fcb935da2
22,Main Street Grille and Brewing Company LLC,msg-brew.com,msg-brew.com,,11-50,5M-10M,united states,ohio,garrettsville,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,e8b25862932ad696efc6ac12a59c51dc
23,Milkhouse Brewery at Stillpoint Farm,milkhousebrewery.com,milkhousebrewery.com,"Milkhouse Brewery at Stillpoint Farm offers a rocky hot cajun mix, honey mustard crunch, cocktail peanuts, and sodas. They provide root beer, diet root beer, orange cream, vanilla cream, black cherry, sasparilla, ciders, and tea. Their food products include apple, cherry, peach cider, and lightly sweetened iced tea.",11-50,5M-10M,united states,maryland,mount airy,311,Food Manufacturing,2099,"Food preparations, nec",https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,4d8eea7f8294e7a60ab3aac77a61aaa0
24,Soco Homebrew,socohomebrew.com,socohomebrew.com,"SoCo Homebrew is your South Austin supplier of homebrew, winemaking, cheesemaking, and other fermentable product supplies.",11-50,5M-10M,united states,texas,austin,311,Food Manufacturing,2099,"Food preparations, nec",https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,80c7035e6b4a6a6d4801c46c7851db84
