Company Name,AAV Segment,Ellie Note,HQ Country,HQ State,HQ City,Revenue Range,Employee Range,Publicly Traded,Subsidiary Status,Funding Stage,Last Funding Date,Last Funding Amount USD,Total Known Funding USD,Number of Funding Rounds,Stock Ticker,Ultimate Parent,Industry,Website,LinkedIn URL,Company Focus,Key Competitors,Strategic Notes
Abeona Therapeutics Inc,,,,NY,,,,,,,,,,,,,,abeonatherapeutics.com,,,,
Affinia Therapeutics Inc,,,,massachusetts,,,,,,,,,,,,,,affiniatx.com,,,,
Latus Bio,,,,PA,,,,,,,,,,,,,,latusbio.com,,,,
Sarepta Therapeutics Inc,,,,MA,,,,,,,,,,,,,,sarepta.com,,,,
"Sangamo Therapeutics, Inc",,,,california,brisbane,25M-75M,201-500,,,,,,,,,,Pharmaceutical Preparation Manufacturing,sangamo.com,https://www.linkedin.com/company/sangamo-therapeutics,,,
Voyager Therapeutics,,,,massachusetts,cambridge,75M-200M,51-200,,,,,,,,,,Pharmaceutical Preparation Manufacturing,voyagertherapeutics.com,https://www.linkedin.com/company/voyager-therapeutics-inc-,,,
Abeona Therapeutics,gene_therapy,"Lead product is cell therapy, not AAV",US,new york,new york,25M-75M,201-500,public-foreign,independent,post-ipo equity,2024-05-03,75000000,429700000,13,xlon:0h7r,abeona therapeutics,Research and Development in Biotechnology (except Nanobiotechnology),https://www.abeonatherapeutics.com,https://www.linkedin.com/company/abeonatherapeutics,,,
REGENXBIO Inc.,gene_therapy,,united states,maryland,rockville,75M-200M,201-500,public-domestic,independent,post-ipo debt,2025-05-19,150000000,928191875,11,xnas:rgnx,regenxbio,Biological Product (except Diagnostic) Manufacturing,https://www.regenxbio.com,https://www.linkedin.com/company/regenx,"Advance gene therapy as a one-time, potentially curative treatment for serious diseases, with a focus on ophthalmology, neuromuscular, and rare genetic disorders.

Prioritize late-stage clinical programs and streamline operations to maximize capital efficiency and accelerate path to commercialization.",,"## Competition
The company faces significant competition from other gene therapy developers, pharmaceutical and biotechnology companies, and academic institutions. Many competitors have greater financial, technical, and marketing resources. Competitors may obtain regulatory approval faster, develop superior products, or benefit from mergers and acquisitions that concentrate resources.

## Market saturation
REGENXBIO operates in the highly competitive biotechnology and gene therapy sector, where rapid technological advancements and numerous competitors (including large pharmaceutical companies and emerging biotechs) can lead to market saturation. The company’s commercial opportunity could be reduced or eliminated if competitors develop and commercialize products that are safer, more effective, or less expensive, or if they achieve regulatory approval before REGENXBIO.

## Customer adoption
REGENXBIO’s future revenue depends on the successful commercialization and market acceptance of its gene therapy products. There is uncertainty regarding whether physicians, patients, and payors will accept gene therapy as a viable, cost-effective, and safe treatment. Additionally, the company’s revenues are highly concentrated among a small number of licensees, increasing risk if a major customer is lost.

## Regulatory / privacy
The company must comply with complex and evolving data privacy regulations (e.g., HIPAA, GDPR). Breaches or failures to comply could result in significant penalties, reputational harm, and operational disruptions. The reliance on third-party vendors and partners further increases the risk of data privacy incidents."
Tenaya Therapeutics,,,,california,south san francisco,25M-75M,51-200,,,post-ipo equity,2025-02-03,52500000,433500000,7,xnas:tnya,,Biological Product (except Diagnostic) Manufacturing,https://www.tenayatherapeutics.com,https://www.linkedin.com/company/tenaya-therapeutics,,,
Sarepta Therapeutics,gene_therapy,Most surprising omission; commercially approved AAV therapy,US,massachusetts,cambridge,1B-10B,1001-5000,public-domestic,independent,post-ipo debt,2025-02-14,600000000,1985962933,8,xnas:srpt,sarepta therapeutics,Biological Product (except Diagnostic) Manufacturing,https://www.sarepta.com,https://www.linkedin.com/company/sarepta-therapeutics,"Leadership in RNA-targeted therapeutics and gene therapy for rare neuromuscular diseases, especially Duchenne Muscular Dystrophy (DMD) and Limb-Girdle Muscular Dystrophies (LGMDs).

Expansion of commercial and clinical pipeline, with a focus on gene therapy (ELEVIDYS) and next-generation genetic medicines.

Strategic collaborations, notably with Roche, to expand global reach and accelerate development.","Nippon Shinyaku Co. Ltd. (VILTEPSO/viltolarsen)
Wave Life Sciences (WVE-N531)
Dyne Therapeutics (Dyne-251)
Avidity Biosciences (AOC 1044)
PepGen (PGN-ED051)
Entrada Therapeutics (ENTR-601-44)
Regenxbio (RGX-202)
BioMarin Pharmaceutical (BMN-351)
Solid Biosciences (SGT-003)","## Competition
The biotechnology and pharmaceutical industries are highly competitive. Sarepta faces direct competition in Duchenne and related indications from companies developing exon-skipping drugs, gene therapies, gene editing, and other disease-modifying or palliative approaches. Many competitors have greater resources, faster regulatory approvals, or more favorable reimbursement. Internal pipeline overlap (e.g., ELEVIDYS vs. PMO products) may also reduce sales growth or lead to inventory write-offs.

## Market saturation
Sarepta operates in rare disease markets (e.g., Duchenne muscular dystrophy, LGMDs, CMT 1A, FSHD, DM1) with small, difficult-to-quantify patient populations. If actual patient numbers are lower than estimated, revenue and profitability may be adversely affected. The company also faces challenges in expanding its global footprint due to regulatory, reimbursement, and market access barriers in international markets.

## Customer adoption
Commercial success depends on market adoption by patients, payors, and healthcare providers. Barriers include demonstrating clinical efficacy and safety, navigating complex payer authorization and reimbursement processes, and overcoming negative perceptions or adverse events related to gene therapy. Delays in infusion center capacity, slow patient onboarding, and lack of awareness or procedural barriers to genetic testing can also hinder adoption.

## Regulatory / privacy
Sarepta is subject to complex and evolving data privacy and security regulations in the US and abroad. Non-compliance with laws such as HIPAA, GDPR, and state privacy statutes can result in substantial fines, litigation, and reputational damage. The company must invest in compliance and cybersecurity, and faces risks from third-party vendors and international data transfers."
Alexion/AstraZeneca,gene_therapy,Alexion/AstraZeneca acquired LogicBio Therapeutics in 2022,US,,cambridge,10B-100B,10001+,public-foreign,independent,,,,,,xlon:azn,astrazeneca,Pharmaceutical Preparation Manufacturing,https://www.astrazeneca.in,https://www.linkedin.com/company/astrazeneca,,,
Forge Biologics,,,,OH,,,,,,,,,,,,,,forgebiologics.com,,,,
Taysha Gene Therapies,,,,texas,,,,,,,,,,,,,,tayshagtx.com,,,,
Capsida Biotherapeutics,gene_therapy,Capsid engineering platform spun from Caltech,US,california,newbury park,25M-75M,51-200,private,independent,,2023-02-23,,140000000,3,,capsida biotherapeutics,Medicinal and Botanical Manufacturing,https://www.capsida.com/,https://www.linkedin.com/company/capsida-biotherapeutics,,,
Neurogene Inc,,,,NY,,,,,,,,,,,,,,neurogene.com,,,,
"Spark Therapeutics, Inc.",,,,pennsylvania,philadelphia,200M-500M,501-1000,,,post-ipo equity,2017-08-03,380400000,763800000,5,nasdaq:once,roche holding ag,Pharmaceutical Preparation Manufacturing,https://www.sparktx.com/,https://www.linkedin.com/company/roche-spark-therapeutics-inc,,,
Lexeo Therapeutics,,,,NY,,,,,,,,,,,,,,lexeotx.com,,,,
"Voyager Therapeutics, Inc",,,,MA,,,,,,,,,,,,,,voyagertherapeutics.com,,,,
Atsena Therapeutics,gene_therapy,Spun out from UNC; ophthalmology focus,US,north carolina,durham,1M-5M,11-50,private,independent,series c,2025-04-02,150000000,237624387,4,,,Research and Development in Biotechnology (except Nanobiotechnology),https://atsenatx.com/,https://www.linkedin.com/company/atsenatx,,,
Ultragenyx Pharmaceutical Inc,,,,california,novato,500M-1B,1001-5000,,,post-ipo equity,2024-06-13,350000000,1139300005,6,,ultragenyx,Research and Development in Biotechnology (except Nanobiotechnology),https://www.ultragenyx.com/,https://www.linkedin.com/company/ultragenyx,,,
Swanbio Therapeutics,,,,pennsylvania,bala cynwyd,5M-10M,11-50,,,,,,,,,,Research and Development in Biotechnology (except Nanobiotechnology),swanbiotx.com,https://www.linkedin.com/company/swanbio-therapeutics,,,
"Emmune, Inc",,,,massachusetts,cambridge,1M-5M,1-10,,,,,,,,,,Research and Development in Biotechnology (except Nanobiotechnology),emmune.bio,https://www.linkedin.com/company/emmune,,,
REGENXBIO Inc,,,,maryland,rockville,75M-200M,201-500,,,,,,,,,,Biological Product (except Diagnostic) Manufacturing,regenxbio.com,https://www.linkedin.com/company/regenx,,,
Resilience (National Resilience),production_tool,AAV manufacturing capacity at multiple NA sites,US,ohio,blue ash,1B-10B,1001-5000,private,independent,grant,2024-10-03,17500000,2532500000,8,,,In-Vitro Diagnostic Substance Manufacturing,https://www.resilience.com/,https://www.linkedin.com/company/weareresilience,,,
Andelyn Biosciences,production_tool,Major AAV manufacturing facility,US,ohio,columbus,25M-75M,201-500,private,independent,grant,2022-02-08,5000000,5000000,1,,,Pharmaceutical Preparation Manufacturing,https://www.andelynbio.com/,https://www.linkedin.com/company/andelyn-biosciences,,,
Beacon Therapeutics,,,,FL,,,,,,,,,,,,,,beacontx.com,,,,
ProBio,production_tool,Launched end-to-end AAV mfg facility in 2025,US,new jersey,pennington,25M-75M,201-500,private,subsidiary,series c,2023-01-18,220000000,220000000,1,,genscript biotech,Research and Development in Biotechnology (except Nanobiotechnology),https://www.probiocdmo.com/,https://www.linkedin.com/company/probio-cdmo,,,
Rocket Pharmaceuticals Inc.,gene_therapy,,united states,new jersey,cranbury,75M-200M,201-500,public-domestic,independent,post-ipo equity,2023-09-12,175000000,891357888,12,xnas:rckt,,Pharmaceutical Preparation Manufacturing,https://rocketpharma.com,https://www.linkedin.com/company/rocket-pharmaceuticals-ltd,"Development of first, only, and best-in-class gene therapies for rare and devastating diseases, with a focus on both in vivo AAV and ex vivo LV platforms.

Advancing late-stage clinical programs toward regulatory approval and commercialization, particularly for Danon Disease (RP-A501), Leukocyte Adhesion Deficiency-I (RP-L201), and Fanconi Anemia (RP-L102).

Strategic resource allocation to prioritize programs with the highest clinical and commercial potential.","bluebird bio, Inc.
Sangamo Therapeutics, Inc.
uniQure N.V.
Orchard Therapeutics plc
CRISPR Therapeutics AG
Beam Therapeutics Inc.
Lexeo Therapeutics, Inc.
Pfizer Inc.
Novartis AG
BioMarin Pharmaceutical Inc.
Vertex Pharmaceuticals Incorporated
Homology Medicines, Inc.
Sarepta Therapeutics, Inc.
Regeneron Pharmaceuticals, Inc.","## Competition
Rocket faces intense competition from multinational pharmaceutical companies, biotechnology firms, and academic institutions, many of which have greater resources and more experience in gene therapy development, manufacturing, and commercialization. The risk of biosimilars and alternative therapies entering the market could erode Rocket’s market share and pricing power. Additionally, the company’s ability to secure orphan drug exclusivity and maintain intellectual property rights is uncertain.

## Market saturation
Rocket Pharmaceuticals operates in the highly competitive and rapidly evolving gene therapy sector, where market saturation is a risk due to the entry of new and established players, as well as the potential for alternative therapies to emerge. The company faces challenges in differentiating its products and achieving market penetration, especially given the limited patient populations for rare diseases.

## Customer adoption
Adoption of Rocket’s gene therapies depends on acceptance by physicians, patients, and payors. Barriers include the novelty of gene therapy, concerns about safety and efficacy, high treatment costs, and the need for specialized administration. Limited awareness, reluctance to undergo genetic testing, and ethical or social concerns about gene therapy may further hinder adoption.

## Regulatory / privacy
Rocket must comply with evolving global data privacy laws, including HIPAA, GDPR, and CCPA. Non-compliance or breaches could lead to regulatory investigations, fines, litigation, and loss of trust. The complexity of managing data across jurisdictions and ensuring secure transfer and storage of sensitive information adds to the challenge."
BioMarin Pharmaceutical,,,,california,san rafael,1B-10B,1001-5000,,,post-ipo debt,2020-05-11,585800000,585800000,1,xnas:bmrn,biomarin pharmaceutical,Pharmaceutical Preparation Manufacturing,https://www.biomarin.com,https://www.linkedin.com/company/biomarin,Innovation in rare genetic disease therapies; expansion of commercial portfolio; operational excellence and value creation.,"Ascendis Pharma A/S
QED Therapeutics, Inc. (BridgeBio Pharma, Inc.)
Ribomic Inc.
Tyra Biosciences Inc.
Abbisko Therapeutics Co Ltd
C-Biomex Co., Ltd
Changchun GeneScience Pharmaceuticals Co., Ltd.
Immunoforge, Co. Ltd.
Novo Nordisk A/S
Peptron Inc.
Prolynx Inc.
SiSaf Ltd.
ArmaGen, Inc.
JCR Pharmaceuticals Co., Ltd.
Orchard Therapeutics Plc
RegenxBio Inc.
Denali Therapeutics Inc.
Immusoft Corporation
Inventiva S.A.
Paradigm Biopharmaceuticals Limited","## Competition
BioMarin faces intense competition from established pharmaceutical and biotechnology companies, as well as from generic and biosimilar products. Competitors may develop more effective or less expensive treatments, obtain regulatory approvals faster, or launch generics that erode BioMarin's market share and pricing power. The company also faces competition for acquisitions, partnerships, and licensing opportunities.

## Market saturation
BioMarin targets rare diseases with small patient populations, requiring high per-patient prices and significant market share to achieve profitability. Market saturation is a risk, especially as new competitors and generics enter the market, potentially reducing BioMarin's ability to maintain high prices and sufficient market share.

## Customer adoption
Adoption of BioMarin's products depends on acceptance by physicians, patients, and payers. High treatment costs, changes in treatment paradigms (e.g., shift to gene therapy), and the need for long-term therapy in small patient populations create barriers to adoption. Delays in achieving reimbursement or market access, especially in international markets, can further hinder adoption.

## Regulatory / privacy
BioMarin is subject to stringent and evolving global data privacy and security regulations (e.g., GDPR, HIPAA, CCPA). Failure to comply with these laws, or breaches by BioMarin or its partners, could result in regulatory investigations, fines, litigation, and reputational harm. Increasing regulatory complexity and cross-border data transfer restrictions add to compliance challenges."
Passage Bio,gene_therapy,Collaboration with Penn Gene Therapy Program (Wilson lab),US,pennsylvania,philadelphia,25M-75M,51-200,public-domestic,independent,post-ipo equity,2021-01-21,154000000,379500000,3,xnas:pasg,passage bio,Research and Development in Biotechnology (except Nanobiotechnology),https://www.passagebio.com,https://www.linkedin.com/company/passage-bio,,,
Apertura Gene Therapy,,,,NY,,,,,,,,,,,,,,aperturagtx.com,,,,
Taysha Gene Therapies,gene_therapy,Partnered historically with UT Southwestern,US,texas,dallas,5M-10M,51-200,public-domestic,subsidiary,post-ipo equity,2025-05-28,200000000,743000000,9,xnas:tsha,astellas pharma,Pharmaceutical Preparation Manufacturing,https://www.tayshagtx.com,https://www.linkedin.com/company/taysha-gene-therapies,,,
4D Molecular Therapeutics,,,,CA,,,,,,,,,,,,,,4dmoleculartherapeutics.com,,,,
Andelyn Biosciences,,,,OH,,,,,,,,,,,,,,andelynbio.com,,,,
Forge Biologics,both,Major NA AAV manufacturing capacity,US,ohio,columbus,25M-75M,201-500,private,subsidiary,series c,2022-09-12,90000000,330000000,5,,ajinomoto,Biological Product (except Diagnostic) Manufacturing,https://www.forgebiologics.com/,https://www.linkedin.com/company/forge-biologics,,,
Odylia Therapeutics,,,,georgia,,,,,,,,,,,,,,odylia.org,,,,
ElevateBio,,,,MA,,,,,,,,,,,,,,elevate.bio,,,,
Jaguar Gene Therapy,,,,illinois,,,,,,,,,,,,,,jaguargenetherapy.com,,,,
Ocugen Inc,,,,PA,,,,,,,,,,,,,,ocugen.com,,,,
Rocket Pharmaceuticals,,,,NJ,,,,,,,,,,,,,,rocketpharma.com,,,,
Kriya,,,,NC,,51-200 employees,,,,$320M Sep-25,,,,,,,Biotechnology Research,kriyatherapeutics.com,,,,
Aspa Therapeutics,gene_therapy,,united states,california,palo alto,1M-5M,1-10,private,independent,,,,,,,,Research and Development in Biotechnology (except Nanobiotechnology),https://aspatx.com/,https://www.linkedin.com/company/aspa-therapeutics,,,
Krystal Biotech,gene_therapy,Note: lead product is not AAV-based,US,pennsylvania,pittsburgh,200M-500M,201-500,public-domestic,independent,post-ipo equity,2023-05-21,160000000,546000000,6,xnas:krys,krystal biotech,Research and Development in Biotechnology (except Nanobiotechnology),https://www.krystalbio.com,https://www.linkedin.com/company/krystal-biotech-inc,"Commercialization and expansion of gene therapy platform, especially VYJUVEK, for rare and serious diseases; advancing a diversified pipeline across dermatology, ophthalmology, respiratory, oncology, and aesthetics; global market access and infrastructure buildout; leveraging in-house CGMP manufacturing.","Abeona Therapeutics Inc.
Castle Creek Biosciences, Inc.
Phoenix Tissue Repair (BridgeBio Pharma, Inc.)
Chiesi Farmaceutici S.p.A.
RHEACELL GmbH & Co.
Eliksa Therapeutics
Vertex Pharmaceuticals Inc.
ReCode Therapeutics, Inc.
Spirovant Sciences, Inc.
4D Molecular Therapeutics, Inc.
CSL Limited
Takeda Pharmaceutical Company Limited
Grifols, S.A.
Kamada Ltd.
Sanofi S.A.
Peak Bio, Inc.
Mereo BioPharma Group plc
Wave Life Sciences Ltd.
Beam Therapeutics Inc.
Merck & Co Inc.","## Competition
Krystal faces significant competition from established biotechnology and pharmaceutical companies with greater resources, as well as from emerging startups developing gene therapies and biosimilars. Competitors may achieve regulatory approval faster, offer safer or more effective products, or challenge Krystal’s intellectual property. The company’s orphan drug and biologics exclusivity may not fully protect against biosimilar or alternative product competition.

## Market saturation
Krystal Biotech is highly dependent on the commercial success of its lead product, VYJUVEK, for near-term growth. If market adoption is slower than anticipated or if the addressable patient population is smaller than expected, revenue growth could be limited. The company also faces challenges in accurately forecasting demand for rare disease therapies, which could lead to supply-demand mismatches.

## Customer adoption
Adoption of VYJUVEK and future products depends on acceptance by physicians, patients, and payors. Barriers include the novelty of gene therapy, the need for genetic testing, potential negative public perception, and the complexity of educating stakeholders. Limited experience as a commercial company and challenges in building effective sales, marketing, and distribution infrastructure may hinder adoption.

## Regulatory / privacy
Krystal is subject to stringent and evolving privacy and data security regulations in the US, EU, and other jurisdictions. Non-compliance or data breaches could lead to regulatory actions, litigation, fines, and reputational harm. The company must navigate complex, sometimes conflicting, global data protection laws, increasing compliance costs and legal risks."
Shape Therapeutics Inc,,,,WA,,,,,,,,,,,,,,shapetx.com,,,,
Passage Bio Inc,,,,PA,,,,,,,,,,,,,,passagebio.com,,,,
Apertura Gene Therapy,gene_therapy,CNS-focused capsid engineering,US,new york,new york,1M-5M,11-50,private,subsidiary,series a,2022-04-26,67000000,67000000,1,,deerfield management,Research and Development in Biotechnology (except Nanobiotechnology),https://www.aperturagtx.com/,https://www.linkedin.com/company/apertura-gene-therapy,,,
Affinia Therapeutics,gene_therapy,,united states,massachusetts,waltham,25M-75M,51-200,private,subsidiary,series b,2021-05-03,110000000,170000000,2,,vertex pharmaceuticals,Pharmaceutical Preparation Manufacturing,https://www.affiniatx.com/,https://www.linkedin.com/company/affinia-therapeutics,,,
PTC Therapeutics,gene_therapy,Acquired Agilis Biotherapeutics' AAV pipeline,US,new jersey,south plainfield,500M-1B,1001-5000,public-domestic,independent,post-ipo equity,2022-10-27,1000000000,1568049151,15,xnas:ptct,ptc therapeutics,Pharmaceutical Preparation Manufacturing,https://www.ptcbio.com,https://www.linkedin.com/company/ptc-therapeutics,"Develop and commercialize innovative therapies for rare diseases, especially neurology and metabolism.

Maximize value through a diversified portfolio and global commercial infrastructure.

Prioritize high-potential R&D programs and strategic pipeline management.","Santhera Pharmaceuticals (Agramee/vamorolone)
Sarepta Therapeutics (Elevidys, Exondys 51, Vyondys 53, Casimersen)
NS Pharma (Viltepso)
Dyne Therapeutics (DYNE-251)
Wave Life Sciences (WVE-N53)
Daiichi Sankyo (DS-5141)
Nippon Shinyaku (Viltolarsen, NS-089/NCNP-02)
Astellas (AT-702)
Pfizer (PF-06939926)
Solid Biosciences (SGT-001)
Ionis Pharmaceuticals (Olezarsen)
Cheisi Farmaceutica (Myalept)
Alnylam Pharmaceuticals (Onpattro, AMVUTTRA)
Pfizer (Vyndaqel, Vyndamax)
BridgeBio Pharma (AG 10)
Intellia Therapeutics (NTLA2001)
Proclara Biosciences (NPT 189)
SOM Biotech (tolcapone, SOM-1311)
Biogen (Spinraza, Skyclarys)
Novartis (Zolgensma, OAV-101)","## Competition
PTC faces substantial competition from major pharmaceutical and biotechnology companies developing treatments for DMD, AADC deficiency, SMA, PKU, and other rare diseases. Competitors may have greater resources, more extensive pipelines, and may bring products to market faster. The loss of market exclusivity for Emflaza and the presence of alternative therapies (e.g., corticosteroids, gene therapies, and other small molecules) intensify competitive pressures. Additionally, pricing pressures and reimbursement challenges from payors and government agencies further impact competitiveness.

## Market saturation
PTC Therapeutics faces challenges in maintaining and expanding market share due to increasing competition in rare disease therapeutics, particularly for Duchenne muscular dystrophy (DMD) and other indications. The expiration of orphan drug exclusivity for Emflaza has led to generic competition, reducing revenue and market share. Additionally, the company’s reliance on a limited number of products and territories (notably outside the U.S.) exposes it to fluctuations in demand and regulatory decisions, which can lead to uneven sales and revenue volatility.

## Customer adoption
Adoption of PTC’s products depends on successful commercialization, physician and patient acceptance, and favorable reimbursement. Challenges include persuading healthcare providers and payors of the clinical and cost-effectiveness of new therapies, especially gene therapies requiring complex administration (e.g., brain surgery for Upstaza/Kebilidi). Negative clinical trial results, safety concerns, or regulatory setbacks can hinder adoption and market penetration.

## Regulatory / privacy
PTC is subject to stringent data privacy and security regulations in the U.S., EU, and other jurisdictions. Non-compliance or breaches can result in significant penalties, regulatory enforcement, and reputational damage. The company must ensure ongoing compliance with evolving global data protection laws, particularly as it expands internationally and manages sensitive patient and clinical trial data."
"Grace Science, LLC",,,,CA,,,,,,,,,,,,,,gracescience.com,,,,
"Precision BioSciences, Inc.",,,,north carolina,durham,25M-75M,51-200,,,post-ipo equity,2024-03-01,40000000,265150000,6,xnas:dtil,precision biosciences,Research and Development in Biotechnology (except Nanobiotechnology),https://www.precisionbiosciences.com,https://www.linkedin.com/company/precision-biosciences-inc-,,,
Capsida Biotherapeutics,,,,CA,,,,,,,,,,,,,,capsida.com,,,,
Solid Biosciences,,,,MA,,,,,,,,,,,,,,solidbio.com,,,,
Catalent Cell & Gene Therapy,production_tool,Major CDMO; AAV mfg sites in MD and elsewhere,US,england,london,25M-75M,51-200,private,unknown,,,,,,,cell and gene therapy manufacturing,Pharmaceutical and Medicine Manufacturing,https://cellgenemanufacturing.iqpc.co.uk/,https://www.linkedin.com/company/cell-gene-therapy-manufacturing,,,
